distance;difference;turnsPlayed;totalExecutionTime;executionTimeP1;executionTimeP2;nodesP1;nodesP2;winCountP1;winCountP2;tieCount
1;0.05;137.26785714285714;7.413138339285715;0.4150775892857144;7.017544232142858;68.73214285714286;948.7678571428571;3.0;38.0;15.0
1;0.0;124.67857142857143;8.823413446428573;0.5292938571428571;8.311566446428571;62.5;628.8035714285714;8.0;27.0;20.0
2;0.25;179.55357142857142;27.003303160714292;16.89145214285714;10.327409107142858;1527.0714285714287;1094.25;32.0;14.0;1.0
1;;120.21428571428571;7.170905071428571;0.12066651785714289;7.193100500000001;60.214285714285715;808.3214285714286;6.0;33.0;17.0
1;0.2;167.80357142857142;8.845853214285714;0.8887530892857143;7.977112660714285;84.03571428571429;934.0;6.0;25.0;22.0
2;0.15000000000000002;244.64285714285714;32.154852053571425;20.221848303571427;12.164478553571428;2476.3214285714284;1227.892857142857;25.0;12.0;0.0
2;;110.98214285714286;11.422024589285716;3.4074383214285704;8.07912094642857;1974.5535714285713;583.0714285714286;53.0;2.0;0.0
2;0.0;504.85714285714283;31.080973250000003;21.62812944642857;9.494123499999999;3701.1785714285716;1990.517857142857;28.0;8.0;5.0
2;0.1;278.0892857142857;32.663675500000004;22.900856767857142;9.817427571428572;2208.1071428571427;1902.5714285714287;28.0;10.0;1.0
1;0.15000000000000002;108.64285714285714;6.8347465892857135;0.5077548571428573;6.337929535714286;54.44642857142857;564.0714285714286;7.0;32.0;17.0
1;0.25;134.08928571428572;8.943675714285714;0.48475628571428586;8.498498857142856;67.17857142857143;825.5714285714286;5.0;29.0;20.0
1;0.1;104.94642857142857;5.926416250000001;0.6324484285714286;5.303316428571429;52.589285714285715;558.4464285714286;6.0;34.0;16.0
2;0.05;255.25;23.27868932142857;14.596736875;8.71505569642857;2051.6428571428573;1461.267857142857;33.0;12.0;1.0
2;0.2;555.1785714285714;34.064430910714286;22.959045124999992;11.374659589285715;4137.607142857143;1935.2142857142858;27.0;8.0;2.0
