id; system time; board height; board width; game type; win length; gravity; turns played; initial board; final board; result; errors; full duration; pointsP1; expansion strategy of Player 1; cache of Player 1; watched nodes of Player 1; evaluation stategy of Player 1; exit condition type of Player 1; exit condition of Player 1; total Speed of Player 1; expansion strategy of Player 2; cache of Player 2; watched nodes of Player 2; evaluation stategy of Player 2; exit condition type of Player 2; exit condition of Player 2; total Speed of Player 2; 
0; 14:46:19:562; 8; 8; ChessGameState;  - ;  - ; 9; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; rp____PR|np____PN|b_p___PB|q__p__PQ|k__p__PK|_p___P_B|np__P__N|rp__b_PR|; Won: P1;  - ; 227804000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 5; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2dc84b9b; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 171137000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 4; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7bd24fd4; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.0}); 57604000; 
1; 14:46:19:705; 8; 8; ChessGameState;  - ;  - ; 38; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ______P_|________|R_______|_p____P_|___QP__K|kp____P_|_______N|__r_____|; Won: P2;  - ; 307424000; -1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 19; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@52ad000b; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 175757000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 19; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@40a4a59f; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}); 139910000; 
2; 14:46:19:844; 8; 8; ChessGameState;  - ;  - ; 84; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|________|____K___|________|________|___k____|________|; Tie;  - ; 386222000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 42; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@71bb08ce; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 231393000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 42; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@af16487; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}); 159048000; 
3; 14:46:20:100; 8; 8; ChessGameState;  - ;  - ; 194; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|________|________|________|_____k__|__K_____|________|; Tie;  - ; 497706000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 97; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@419eadc0; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 378540000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 97; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2832d839; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 164111000; 
4; 14:46:20:142; 8; 8; ChessGameState;  - ;  - ; 167; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|________|_K______|______k_|________|________|________|; Tie;  - ; 502970000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 84; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2952b0d5; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 222128000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 83; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@4b59a1b3; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 337982000; 
5; 14:46:20:330; 8; 8; ChessGameState;  - ;  - ; 194; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|________|k____K__|________|________|________|________|; Tie;  - ; 569942000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 97; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@47991a68; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 488192000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 97; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2c9348e4; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 197053000; 
6; 14:46:20:334; 8; 8; ChessGameState;  - ;  - ; 12; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; rp____PR|np____PN|b_p___P_|qp___P__|kp__P__K|b_p___PB|n_Q___PN|______R_|; Won: P2;  - ; 550381000; -1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 6; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@43cb4f03; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 75800000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 6; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7eef0fad; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.25}TurnCountingCondition{turnsLookedForward=1}); 617655000; 
7; 14:46:20:502; 8; 8; ChessGameState;  - ;  - ; 32; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; r__p_B_R|_____P_N|b_______|_p____P_|k_p__P_K|__p_P___|Qp______|________|; Won: P2;  - ; 627691000; -1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 16; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@4b13f784; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 120241000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 16; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2d16332a; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.05}TurnCountingCondition{turnsLookedForward=1}); 699569000; 
8; 14:46:21:281; 8; 8; ChessGameState;  - ;  - ; 118; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; _K______|________|________|________|________|________|________|_____k__|; Tie;  - ; 1176019000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 59; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7afed66f; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 211644000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 59; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7a15e98c; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=1}); 1196698000; 
9; 14:46:21:352; 8; 8; ChessGameState;  - ;  - ; 178; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; k_______|________|________|________|________|________|K_______|________|; Tie;  - ; 1203924000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 89; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@33132957; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 378818000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 89; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7ffab329; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.25}TurnCountingCondition{turnsLookedForward=1}); 1071866000; 
