"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:28:39:202","51648647692316","   0.101","   3.093"," 3075"," 2100"," 4400","2888","   8.091","   0.818","   0.227","   6.377","   0.644","   0.179"," 54","0","   0.980","   0.099","   0.028","  45.000","    0"
"14:28:39:303","51648880528946","   0.202","   5.622"," 3252"," 2300"," 3600","4620","  11.019","   1.931","   0.536","   9.379","   1.592","   0.442"," 53","0","   0.971","   0.197","   0.055","  45.000","    0"
"14:28:39:403","51649111440418","   0.302","   5.695"," 2841"," 1900"," 3400","2513","   9.028","   2.836","   0.788","   7.711","   2.365","   0.657"," 56","0","   0.731","   0.271","   0.075","  45.000","    0"
"14:28:39:504","51649344273000","   0.403","   4.077"," 3344"," 2700"," 3600","3695","   7.646","   3.609","   1.002","   6.737","   3.046","   0.846"," 53","0","   0.629","   0.334","   0.093","  45.000","    0"
"14:28:39:604","51649575047684","   0.504","   4.024"," 2606"," 2000"," 3200","3227","   4.673","   4.077","   1.132","   4.020","   3.448","   0.958"," 56","0","   0.658","   0.400","   0.111","  45.000","    0"
"14:28:39:705","51649807799476","   0.605","  10.467"," 2889"," 2300"," 3400","3202","  13.432","   5.434","   1.509","  11.434","   4.604","   1.279"," 54","0","   1.148","   0.516","   0.143","  45.000","    0"
"14:28:39:806","51650040511850","   0.706","   8.600"," 3398"," 2900"," 3700","4381","  18.341","   7.286","   2.024","  16.082","   6.228","   1.730"," 71","0","   1.290","   0.646","   0.179","  45.000","    0"
"14:28:39:907","51650271463250","   0.806","   3.951"," 2905"," 1500"," 4200","2562","   9.371","   8.226","   2.285","   7.682","   6.998","   1.944"," 53","0","   0.978","   0.744","   0.207","  45.000","    0"
"14:28:40:007","51650502004272","   0.906","   7.685"," 3093"," 2600"," 3500","4216","  13.628","   9.589","   2.664","  11.840","   8.183","   2.273"," 56","0","   1.008","   0.845","   0.235","  45.000","    0"
"14:28:40:107","51650733473592","   1.006","   5.249"," 2509"," 1600"," 3500","2940","   5.790","  10.171","   2.825","   4.282","   8.613","   2.392"," 55","0","   0.947","   0.940","   0.261","  45.000","    0"
